"Function Value","Number of Vehicles",Alpha,Seed
2666.7,24,0.1,8195
2745.59,25,0.1,26940
2773.88,24,0.1,21294
2723.62,24,0.1,30066
2710.23,24,0.1,35807
2728.88,24,0.1,21120
2625.74,24,0.1,15107
2658.36,24,0.1,7039
2756.43,24,0.1,26277
2699.06,24,0.1,19996
2751.72,24,0.1,19320
2664.07,24,0.1,28611
2694.06,24,0.1,16845
2697.1,24,0.1,8707
2625.74,24,0.1,15107
2699.06,24,0.1,8236
2679.26,25,0.1,20882
2708.93,24,0.1,30018
2740.79,24,0.1,29197
2741.78,24,0.1,4086
2762.65,24,0.1,28596
2717.75,24,0.1,13662
2685.6,24,0.1,21488
2735.01,24,0.1,13127
2694.06,24,0.1,16845
2625.74,24,0.1,15107
2716.29,24,0.1,16464
2699.06,24,0.1,10112
2724.13,24,0.1,14337
2695.56,25,0.1,15059

2731.86,25,0.2,8335
2815.15,25,0.2,29300
2790.71,24,0.2,19824
2618.31,24,0.2,34336
2703.1,25,0.2,35047
2716.83,25,0.2,24100
2768.27,25,0.2,17027
2779.79,24,0.2,7779
2722.19,25,0.2,24257
2791.25,24,0.2,15856
2744.05,25,0.2,15600
2685.97,24,0.2,30501
2706.52,24,0.2,14545
2757.9,24,0.2,7247
2768.27,25,0.2,17027
2714.55,24,0.2,10806
2772.3,25,0.2,22522
2688.04,24,0.2,27688
2760.52,25,0.2,30347
2684.18,24,0.2,2626
2701.66,25,0.2,27946
2830.06,24,0.2,12412
2732.85,25,0.2,22548
2771.4,25,0.2,9387
2717.7,24,0.2,19175
2768.27,25,0.2,17027
2790.71,24,0.2,19824
2705.35,24,0.2,11112
2790.3,24,0.2,12087
2759.25,24,0.2,15579

2783.54,24,0.3,8805
2735.62,25,0.3,26510
2739.98,25,0.3,16864
2668.87,25,0.3,33226
2846.05,25,0.3,33917
2703.37,24,0.3,22400
2744.9,24,0.3,15287
2776.79,25,0.3,3139
2662.69,24,0.3,25837
2780.54,25,0.3,16996
2752.63,25,0.3,17780
2832.58,25,0.3,31691
2809.4,25,0.3,17335
2667.74,24,0.3,6287
2744.9,24,0.3,15287
2656.03,24,0.3,10626
2724.34,24,0.3,20522
2682.2,25,0.3,27088
2800.28,26,0.3,31337
2682.01,24,0.3,1716
2697.41,24,0.3,27256
2747.96,26,0.3,15062
2674.42,24,0.3,21528
2755.6,24,0.3,11917
2809.4,25,0.3,17335
2744.9,24,0.3,15287
2641.6,24,0.3,15324
2763.21,25,0.3,7532
2755.6,24,0.3,11917
2766.85,24,0.3,14609

