"Function Value","Number of Vehicles",Alpha,Seed,Time
646.045,5,0.1,3570,0.579558
646.045,5,0.1,18320,0.563081
646.045,5,0.1,19677,0.600367
646.045,5,0.1,22929,0.58228
646.045,5,0.1,3146,0.57151
646.045,5,0.1,4935,0.564418
646.045,5,0.1,29734,0.568952
646.045,5,0.1,17695,0.589273
646.045,5,0.1,25255,0.571601
646.045,5,0.1,13360,0.584366
646.045,5,0.1,5589,0.566056
646.045,5,0.1,19194,0.593136
646.045,5,0.1,6433,0.578919
646.045,5,0.1,9112,0.589809
646.045,5,0.1,1781,0.565794
646.045,5,0.1,17954,0.584931
646.045,5,0.1,23022,0.574688
646.045,5,0.1,19955,0.57354
646.045,5,0.1,8454,0.559667
646.045,5,0.1,4828,0.570648
646.045,5,0.1,9443,0.568216
646.045,5,0.1,15530,0.574567
646.045,5,0.1,14620,0.574076
646.045,5,0.1,12277,0.582245
646.045,5,0.1,22671,0.565104
646.045,5,0.1,7899,0.574648
646.045,5,0.1,28536,0.583077
646.045,5,0.1,23966,0.585949
646.045,5,0.1,230,0.584767
646.045,5,0.1,14601,0.567404

646.045,5,0.2,3570,0.575213
646.045,5,0.2,18320,0.572615
646.045,5,0.2,19677,0.569845
646.045,5,0.2,22939,0.613604
646.045,5,0.2,3156,0.573675
646.045,5,0.2,4935,0.57823
646.045,5,0.2,29784,0.586654
646.045,5,0.2,17705,0.573789
646.045,5,0.2,25365,0.581986
646.045,5,0.2,13390,0.588972
646.045,5,0.2,5689,0.602552
646.045,5,0.2,19194,0.648703
646.045,5,0.2,6523,0.572365
646.045,5,0.2,9122,0.606107
646.045,5,0.2,1781,0.615431
646.045,5,0.2,17964,0.604556
646.045,5,0.2,23032,0.594925
646.045,5,0.2,19985,0.572328
646.045,5,0.2,8474,0.608371
646.045,5,0.2,4828,0.577142
646.045,5,0.2,9503,0.57996
646.045,5,0.2,15540,0.584901
646.045,5,0.2,14630,0.597928
646.045,5,0.2,12277,0.598376
646.045,5,0.2,22671,0.575878
646.045,5,0.2,7939,0.586408
646.045,5,0.2,28536,0.594947
646.045,5,0.2,23966,0.586859
646.045,5,0.2,230,0.575585
646.045,5,0.2,14601,0.591661

646.045,5,0.3,3690,0.603782
646.045,5,0.3,18320,0.594559
646.045,5,0.3,19677,0.636598
646.045,5,0.3,22939,0.59136
646.045,5,0.3,3156,0.58726
646.045,5,0.3,4975,0.599139
646.045,5,0.3,29784,0.621812
646.045,5,0.3,17705,0.606999
646.045,5,0.3,25365,0.597184
646.045,5,0.3,13390,0.6051
646.045,5,0.3,5849,0.589918
646.045,5,0.3,19194,0.601851
646.045,5,0.3,6523,0.591741
646.045,5,0.3,9142,0.614512
646.045,5,0.3,1881,0.604556
646.045,5,0.3,17964,0.591102
646.045,5,0.3,23032,0.608629
646.045,5,0.3,19985,0.607713
646.045,5,0.3,8594,0.625612
646.045,5,0.3,4828,0.616083
646.045,5,0.3,9503,0.58345
646.045,5,0.3,15540,0.583604
646.045,5,0.3,14630,0.593727
646.045,5,0.3,12277,0.597499
646.045,5,0.3,22671,0.622833
646.045,5,0.3,7989,0.59723
646.045,5,0.3,28536,0.607717
646.045,5,0.3,23966,0.586836
646.045,5,0.3,230,0.61104
646.045,5,0.3,14601,0.589993

