"Function Value","Number of Vehicles",Alpha,Seed,Time
653.302,4,0.1,26482,0.190305
653.302,4,0.1,20111,0.202895
653.302,4,0.1,18689,0.206261
653.302,4,0.1,15188,0.209249
653.302,4,0.1,27739,0.190333
653.302,4,0.1,1479,0.186443
653.302,4,0.1,3010,0.192931
653.302,4,0.1,8643,0.187775
653.302,4,0.1,27348,0.191343
653.302,4,0.1,21791,0.198375
653.302,4,0.1,9941,0.187147
653.302,4,0.1,4892,0.187401
653.302,4,0.1,24405,0.189681
653.302,4,0.1,21756,0.186174
653.302,4,0.1,18435,0.191598
653.302,4,0.1,17993,0.195802
653.302,4,0.1,1389,0.198046
653.302,4,0.1,27595,0.186383
653.302,4,0.1,10533,0.198135
653.302,4,0.1,24222,0.203137
653.302,4,0.1,10696,0.191845
653.302,4,0.1,9776,0.185653
653.302,4,0.1,5037,0.19568
653.302,4,0.1,26503,0.19802
653.302,4,0.1,29629,0.203353
653.302,4,0.1,14123,0.191012
653.302,4,0.1,14089,0.19958
653.302,4,0.1,15851,0.192898
653.302,4,0.1,23395,0.190794
653.302,4,0.1,383,0.193671

637.888,4,0.2,26722,0.197021
637.888,4,0.2,19641,0.198958
637.888,4,0.2,18909,0.190553
637.888,4,0.2,15178,0.197288
637.888,4,0.2,27409,0.199141
637.888,4,0.2,1499,0.214711
637.888,4,0.2,3500,0.193864
637.888,4,0.2,8263,0.189748
637.888,4,0.2,27158,0.19616
637.888,4,0.2,21801,0.205421
637.888,4,0.2,10041,0.216085
637.888,4,0.2,5122,0.195454
637.888,4,0.2,23745,0.196215
637.888,4,0.2,21656,0.199639
637.888,4,0.2,17115,0.192801
637.888,4,0.2,17483,0.204516
637.888,4,0.2,1039,0.208266
637.888,4,0.2,27755,0.205588
637.888,4,0.2,10513,0.190696
637.888,4,0.2,23612,0.196891
637.888,4,0.2,10346,0.195976
637.888,4,0.2,9456,0.202404
637.888,4,0.2,4637,0.199004
637.888,4,0.2,26243,0.189446
637.888,4,0.2,29189,0.189799
637.888,4,0.2,13653,0.194543
637.888,4,0.2,14069,0.200695
637.888,4,0.2,16301,0.198668
637.888,4,0.2,23085,0.19777
637.888,4,0.2,323,0.210776

653.302,4,0.3,26432,0.220323
653.302,4,0.3,20581,0.211416
653.302,4,0.3,19309,0.201838
653.302,4,0.3,15008,0.215154
653.302,4,0.3,28379,0.216998
653.302,4,0.3,1509,0.207645
653.302,4,0.3,3030,0.199551
653.302,4,0.3,8443,0.196775
653.302,4,0.3,27038,0.196877
653.302,4,0.3,22221,0.209875
653.302,4,0.3,11001,0.197836
653.302,4,0.3,4842,0.196483
653.302,4,0.3,23755,0.205448
653.302,4,0.3,21836,0.204283
653.302,4,0.3,17855,0.201073
653.302,4,0.3,17573,0.196716
653.302,4,0.3,1509,0.204375
653.302,4,0.3,27525,0.195822
653.302,4,0.3,10873,0.195866
653.302,4,0.3,24042,0.200496
653.302,4,0.3,11366,0.205333
653.302,4,0.3,9336,0.214291
653.302,4,0.3,4907,0.210954
653.302,4,0.3,26313,0.198254
653.302,4,0.3,29099,0.196441
653.302,4,0.3,14163,0.207665
653.302,4,0.3,13969,0.217881
653.302,4,0.3,16041,0.205794
653.302,4,0.3,23755,0.196954
653.302,4,0.3,263,0.196863

