"Function Value","Number of Vehicles",Alpha,Seed,Time
2656.12,23,0.1,13320,8.44656
2686.1,24,0.1,8344,8.21212
2770.25,24,0.1,14456,8.19289
2710.26,23,0.1,37514,8.25055
2689.95,25,0.1,4111,8.32109
2723.03,23,0.1,12737,8.31597
2754.34,25,0.1,5556,8.49269
2694.07,25,0.1,23903,8.16023
2610.93,25,0.1,5363,8.19931
2725.31,25,0.1,33180,8.27916
2656.12,23,0.1,13320,8.22904
2697.09,23,0.1,11689,8.18971
2730.15,22,0.1,1837,8.11742
2746.06,24,0.1,5348,8.06772
2733.82,24,0.1,9938,8.22738
2737.28,23,0.1,19366,8.15202
2770.25,24,0.1,14456,8.37615
2672.74,24,0.1,31926,8.08463
2686.1,24,0.1,8344,8.07379
2656.12,23,0.1,13320,8.1287
2687.01,24,0.1,27042,8.17394
2689.46,22,0.1,18003,8.09933
2720.84,25,0.1,5800,8.18332
2656.12,23,0.1,13320,8.14719
2716.01,23,0.1,22136,8.14628
2746,25,0.1,36151,8.23701
2710.45,24,0.1,5284,8.16692
2693.56,23,0.1,8169,8.12063
2726.55,24,0.1,27231,8.13567
2757.16,24,0.1,17501,8.12635

2686.05,24,0.2,10830,8.58285
2735.7,25,0.2,8524,8.51593
2771.41,25,0.2,13776,8.44553
2800.27,24,0.2,36304,8.44533
2775.42,24,0.2,5341,8.47782
2712.62,24,0.2,15977,8.48253
2806.48,24,0.2,2356,8.44063
2709.43,25,0.2,23903,8.51223
2756.64,25,0.2,5303,8.44418
2770.09,24,0.2,29940,8.52215
2686.05,24,0.2,10830,8.44996
2753.08,25,0.2,10909,8.4555
2627.87,21,0.2,3487,8.42519
2790.14,25,0.2,3998,8.49081
2783.87,24,0.2,12488,8.42579
2722.97,24,0.2,17986,8.57532
2771.41,25,0.2,13776,8.59214
2811.7,24,0.2,27276,8.56309
2744.71,24,0.2,3834,8.50128
2838.78,25,0.2,15800,8.48392
2831.62,25,0.2,26142,8.46981
2793.13,25,0.2,17903,8.49723
2706.66,25,0.2,5020,8.56505
2838.78,25,0.2,15800,8.48654
2813.7,25,0.2,23816,8.44781
2800.94,24,0.2,36221,8.42876
2744.71,24,0.2,3834,8.45657
2653.45,25,0.2,4489,8.45688
2775.61,24,0.2,31431,8.54439
2677.3,25,0.2,14911,8.63212

2761.06,25,0.3,12750,8.61931
2830.42,25,0.3,7924,8.64466
2781.25,24,0.3,13516,8.57058
2811.11,25,0.3,34214,8.64054
2677.66,24,0.3,5461,8.67492
2732.12,24,0.3,15857,8.5587
2837.56,26,0.3,4726,8.69024
2807.61,25,0.3,21813,8.57952
2783.96,24,0.3,5093,8.68724
2725.11,24,0.3,31330,8.59705
2752.87,24,0.3,15010,8.56246
2865.2,25,0.3,12979,8.60158
2708.59,24,0.3,4107,8.64396
2651.18,24,0.3,4788,8.65002
2628.84,25,0.3,11928,8.59741
2791.43,26,0.3,19396,8.63751
2761.15,24,0.3,10436,8.68408
2814.27,26,0.3,29196,8.60524
2586.28,25,0.3,4144,8.63923
2752.87,24,0.3,15010,8.54441
2751.18,25,0.3,30342,8.63981
2822.3,24,0.3,17753,8.62899
2779.5,24,0.3,4630,8.5775
2752.87,24,0.3,15010,8.65464
2840.15,25,0.3,24576,8.65258
2763.54,25,0.3,31811,8.67936
2586.28,25,0.3,4144,8.64595
2778.43,25,0.3,7459,8.709
2763.54,25,0.3,31811,8.59708
2795.68,23,0.3,15241,8.66015

