"Function Value", "Number of Vehicles",Alpha,Seed,Time
646.045,5,6.90541e-310,18997,1.79428
646.045,5,6.92286e-310,23630,1.81347
646.045,5,6.92505e-310,907,1.78416
646.045,5,6.9504e-310,20655,1.67964
771.14,5,0.4,12540,1.70402
646.045,5,6.93037e-310,5723,1.73247
646.045,5,0,25975,1.8741
646.045,5,6.89914e-310,31002,2.43614
646.045,5,0,30330,1.72633
646.045,5,6.91916e-310,18153,2.51567
646.045,5,0,20978,1.79439
1238.86,8,0.9,11452,2.31729
646.045,5,6.90259e-310,8581,1.77179
646.045,5,6.91832e-310,17328,1.85772
646.045,5,6.91439e-310,17053,1.93297
646.045,5,6.95134e-310,2848,1.70812
826.059,5,0.7,9057,1.7584
646.045,5,6.94724e-310,603,1.8625
1719.64,6,0.9,25876,2.43808
646.045,5,6.93405e-310,4506,1.77161
646.045,5,0.1,30906,1.8618
646.045,5,6.91795e-310,29333,2.35269
646.045,5,6.90438e-310,11234,1.82998
646.045,5,6.92826e-310,16316,2.22639
646.045,5,0,15137,1.76506
646.045,5,6.92992e-310,12886,1.87821
646.045,5,6.92197e-310,10015,2.1074
646.045,5,6.94272e-310,1109,1.91002
646.045,5,6.95028e-310,25930,1.89566
646.045,5,6.90869e-310,21254,1.75141

