"Function Value", "Number of Vehicles",Alpha,Seed,Time
1386.74,8,0,21763,2.64995
1490.25,7,0.6,12914,2.73846
1386.74,8,0,26624,2.52129
1335.34,6,0.1,32213,2.38899
1386.74,8,6.90692e-310,3568,2.55363
1386.74,8,6.91253e-310,15870,2.60221
1386.74,8,0.1,20500,2.63078
1346.8,7,0.1,29473,2.45849
1469.9,7,0.6,11487,2.79954
1386.74,8,6.92401e-310,6643,2.32813
1386.74,8,6.92997e-310,27628,2.60518
1657.22,8,0.9,31412,2.8479
1386.74,8,6.91795e-310,31534,2.68687
1317,7,0.3,1933,2.59106
1386.74,8,0,641,2.69221
1386.74,8,0,14916,2.49734
1386.74,8,6.90254e-310,11199,2.91874
1386.74,8,0,15096,2.53858
1386.74,8,6.90457e-310,24069,2.59021
1386.74,8,6.95016e-310,14317,2.64602
1386.74,8,6.94553e-310,31411,2.46418
1386.74,8,6.92496e-310,31924,2.59863
1386.74,8,6.92187e-310,25669,2.55642
1386.74,8,0,28946,2.83967
1386.74,8,0,12652,2.61658
1386.74,8,0,32510,2.49562
1375.69,6,0.8,26707,2.43773
1368.9,6,0.1,32186,3.02276
1386.74,8,0,16118,2.79255
1386.74,8,6.93159e-310,27516,2.64546

