"Function Value", "Number of Vehicles",Alpha,Seed,Time
716.746,7,0.2,1582,0.774156
669.071,6,0.9,4416,0.685006
587.067,7,0.1,2504,0.703755
584.041,7,0.1,1887,0.680886
587.067,7,0.1,7082,0.730374
675.396,6,0.9,16956,0.650393
587.067,7,0.3,28693,0.671295
716.746,7,0.1,4785,0.770578
703.922,7,0.3,4452,0.722643
716.746,7,0.9,2314,0.752316
587.067,7,0.1,4461,0.702972
584.041,7,0.2,17777,0.760278
587.067,7,0.1,21561,0.720887
584.041,7,0.3,1599,0.69225
637.55,6,0.7,3532,0.806772
587.067,7,0.1,22147,0.693944
587.067,7,0.1,27116,0.736401
716.746,7,0.5,32308,0.772676
716.746,7,6.92584e-310,5016,0.7543
587.067,7,0.1,13030,0.670978
587.067,7,0.1,8467,0.73145
716.746,7,0.5,17214,0.762395
716.746,7,6.9054e-310,14230,0.75696
716.746,7,6.95093e-310,14630,0.758626
668.209,6,0.8,2905,0.663914
587.067,7,0.1,14132,0.687743
587.067,7,0.1,28068,0.661853
587.067,7,0.4,15045,0.688385
584.041,7,0.1,6872,0.682791
584.041,7,0.4,28986,0.74055

