"Function Value","Number of Vehicles",Alpha,Seed
240.392,2,0.1,26912
240.392,2,0.1,13563
240.392,2,0.1,8180
240.392,2,0.1,26158
240.392,2,0.1,1339
240.392,2,0.1,19224
240.392,2,0.1,30597
240.392,2,0.1,13672
240.392,2,0.1,17740
240.392,2,0.1,15444
240.392,2,0.1,9672
240.392,2,0.1,27728
240.392,2,0.1,1114
240.392,2,0.1,30349
240.392,2,0.1,31088
240.392,2,0.1,21921
240.392,2,0.1,2333
240.392,2,0.1,17400
240.392,2,0.1,9388
240.392,2,0.1,12848
240.392,2,0.1,13080
240.392,2,0.1,848
240.392,2,0.1,10725
240.392,2,0.1,9986
240.392,2,0.1,29395
240.392,2,0.1,15142
240.392,2,0.1,13743
240.392,2,0.1,9293
240.392,2,0.1,13077
240.392,2,0.1,3613

240.392,2,0.2,26912
240.392,2,0.2,13573
240.392,2,0.2,8180
240.392,2,0.2,26158
240.392,2,0.2,1339
240.392,2,0.2,19224
240.392,2,0.2,30597
240.392,2,0.2,13672
240.392,2,0.2,17740
240.392,2,0.2,15444
240.392,2,0.2,9682
240.392,2,0.2,27758
240.392,2,0.2,1124
240.392,2,0.2,30369
240.392,2,0.2,31088
240.392,2,0.2,21931
240.392,2,0.2,2373
240.392,2,0.2,17440
240.392,2,0.2,9458
240.392,2,0.2,12848
240.392,2,0.2,13080
240.392,2,0.2,848
240.392,2,0.2,10725
240.392,2,0.2,9996
240.392,2,0.2,29395
240.392,2,0.2,15142
240.392,2,0.2,13753
240.392,2,0.2,9303
240.392,2,0.2,13077
240.392,2,0.2,3683

240.392,2,0.3,26912
240.392,2,0.3,13573
240.392,2,0.3,8180
240.392,2,0.3,26168
240.392,2,0.3,1339
240.392,2,0.3,19224
240.392,2,0.3,30597
240.392,2,0.3,13672
240.392,2,0.3,17740
240.392,2,0.3,15444
240.392,2,0.3,9682
240.392,2,0.3,27758
240.392,2,0.3,1124
240.392,2,0.3,30429
240.392,2,0.3,31088
240.392,2,0.3,21931
240.392,2,0.3,2413
240.392,2,0.3,17440
240.392,2,0.3,9458
240.392,2,0.3,12848
240.392,2,0.3,13190
240.392,2,0.3,848
240.392,2,0.3,10725
240.392,2,0.3,9996
240.392,2,0.3,29395
240.392,2,0.3,15142
240.392,2,0.3,13753
240.392,2,0.3,9303
240.392,2,0.3,13097
240.392,2,0.3,3683

"Function Value","Number of Vehicles",Alpha,Seed
"Function Value","Number of Vehicles",Alpha,Seed
"Function Value","Number of Vehicles",Alpha,Seed
