"Function Value", "Number of Vehicles",Alpha,Seed
240.392,2,0,20011
240.392,2,6.90236e-310,3626
240.392,2,6.94916e-310,15653
240.392,2,6.9401e-310,27835
240.392,2,6.93263e-310,8597
240.392,2,6.92648e-310,4156
240.392,2,0,23697
240.392,2,6.91493e-310,2257
240.392,2,0,25957
240.392,2,6.91523e-310,27874
240.392,2,6.89985e-310,19936
240.392,2,0.2,21396
240.392,2,0.2,6987
240.392,2,0.1,2751
240.392,2,0,25721
240.392,2,6.92883e-310,10600
240.392,2,6.94772e-310,13421
240.392,2,0,27309
240.392,2,0.1,16924
240.392,2,0.6,9912
240.392,2,6.92052e-310,7432
240.392,2,0.4,32580
240.392,2,6.90277e-310,23854
240.392,2,6.91933e-310,2811
240.392,2,6.91439e-310,6788
240.392,2,0,23082
240.392,2,0.3,19432
240.392,2,0,30989
240.392,2,6.90174e-310,13392
240.392,2,6.90214e-310,13520

